id,label,definition
ข ๑,- ข ๒๒๐ จิตใจ สติ ปัญญา ความคิด ความรู้สึก,ข ๑ 
ข ๑๐,จิตใจ สภาพลักษณะและการควบคุม,ข ๑ จิตใจ ขวัญ และวิญญาณ
ข ๒,ภาวะที่จิตรู้ตัวและไม่รู้ตัว,จิตสำนึก	ภาวะที่จิตตื่นและรู้ตัวสามารถตอบสนองต่อสิ่งเร้าจากประสาทสัมผัสทั้ง ๕ คือ รูป เสียง กลิ่น รส และสิ่งที่สัมผัสได้ด้วยกาย
ข ๓,ภาวะที่จิตสงบและไม่สงบ,เอกัคตา		ความมีจิตแน่วแน่อยู่ในอารมณ์อย่างเดียว เช่น จิตเป็นเอกัคตาไม่วอกแวก
ข ๑๑๑,,หวั่นไหว	สั่นสะเทือน เช่น หวั่นไหวด้วยความสงสาร
ข ๔,สภาพจิต,"นิสัย	    สภาพจิตอันเป็นผลจากความเคยชินและส่งผลต่อความประพฤติ เช่น เขามีนิสัยประหยัด, ตามใจลูกจนเสียนิสัย; ความเคยชินอันเกิดจากทำอะไรบ่อยๆ เช่น กินมากเป็นนิสัย"
ข ๕, ข ๙ ลักษณะจิตใจ,ข ๕ ความแข็งแรงและความอ่อน
ข ๖,ความดีและไม่ดี,ใจดี	มีเมตตากรุณา ไม่โกรธง่าย
ข ๗,ความเที่ยงตรงและไม่เที่ยงตรง,ตรง	ไม่เอนเอียง เช่น เขาเป็นคนตรงยังกับไม้บรรทัด
ข ๘,ความมั่นคงและไม่มั่นคง,"มั่นคง	           ไม่เปลี่ยนแปลงโดยง่าย เช่น จิตใจมั่นคง, มั่นคงในความรัก"
ข ๙,ความมีน้ำใจและไม่มีน้ำใจ,"มีแก่ใจ, มีน้ำใจ		มีใจชอบช่วยผู้อื่น เช่น มีน้ำใจออกปากให้ยืมเต็นท์"
ข ๑๐,การควบคุมจิตใจ,ดูคำและความหมายใน ง ๑๐๑
ข ๒๐,-ข ๒๑ สติและการขาดสติ,ข ๒๐ สติสัมปชัญญะ
ข ๒๑,การขาดสติ,"เผลอ	       ไม่ได้ระวังตัว เช่น เดินเผลอไปสะดุดขาโต๊ะ, เผลอหลับไป"
ข ๓๐, ข ๓๓ ปัญญา ความฉลาด ฯลฯ,ข ๓๐ ปัญญา ความรู้
ข ๓๑,ความฉลาด,"ฉลาด, ฉลาดเฉลียว, เฉลียวฉลาด; โกวิท, โกศล (กวี)	ปัญญาดี เช่น เด็กฉลาด เรียนเก่ง, ฉลาดเป็นกรด"
ข ๓๒,ความโง่,"โง่, ปัญญาทึบ, สมองทึบ, สมองไม่ดี, หัวขี้เลื่อย, หัวทึบ	ไม่ฉลาด เช่น เด็กคนนี้สมองทึบเรียนช้า"
ข ๓๓,ผู้มีไหวพริบ,เสือรู้ (สำ)	ผู้ที่มีไหวพริบหรือฉลาดรู้จักเอาตัวรอด
ข ๔๐, ข ๗๕ ความคิดและการคิด,ข ๔๐ ความคิดความเห็น
ข ๔๑,การคิด,"คิด	ทำให้เป็นรูปหรือเรื่องขึ้นในใจ เช่น คิดอุบาย, คิดตื้นๆ, คิดลึก, คิดจนหัวแทบแตก, คิดจนสมองจะระเบิด"
ข ๔๒,การคิดไม่ออก,"คิดไม่ออก, จนปัญญา; จนด้วยเกล้า, อั้นตู้ (ปาก); มืดแปดด้าน (สำ)		คิดไม่ได้ เช่น ผมจนปัญญาไม่รู้ว่าจะช่วยเขาอย่างไร"
ข ๔๓,การคิดไม่กระจ่าง,"งง; งงก๊ง, งงเต้ก (ปาก)		ไม่อาจจะคิดได้อย่างกระจ่าง เช่น อ่านคำถามแล้วงง"
ข ๔๔,การคิดอยู่นาน,ตรอง		คิดทบทวน เช่น นิ่งตรองอย่างไม่สู้แน่ใจ
ข ๔๕,การคิดสิ่งใหม่,ริ	คิดสิ่งใหม่ [มักมีนัยว่าไม่ควร] เช่น ช่างริดีนัก
ข ๔๖,การคิดขึ้นได้,"คิดได้, ได้คิด	   คิดเรื่องที่ควรคิด เช่น กว่าจะคิดได้ก็สายเสียแล้ว"
ข ๔๗,การคิดเมื่อพบสิ่งน่าสลดใจ,"ปลง, ปลงอนิจจัง	คิดสลดใจว่าไม่น่าจะเป็นถึงเช่นนั้น เช่น เห็นเขาแย่งตำแหน่งกันแล้ว นึกปลงอนิจจัง"
ข ๔๘,การคิดสิ่งที่ยังไม่เกิดหรือไม่รู้,"คาด, คาดคะเน		คิดถึงเหตุการณ์ที่จะเกิดขึ้นในอนาคตโดยอาศัยข้อมูลบางอย่าง เช่น คาดกันว่าผู้จัดการคงลาออก"
ข ๔๙,การคิดเสมือนว่าจริง,"สมมติ, สมมุติ; ติ๊ต่าง (ปาก)	คิดเรื่องที่มิได้เป็นจริงเสมือนว่าเป็นจริง เช่น สมมติว่าเรามีเงินล้าน"
ข ๕๐,การคิดว่าเป็นอย่างไร,ถือ	คิดว่าละเมิด เช่น ไม่ถือน้องที่พูดล่วงเกิน; เชื่อว่าเป็นมงคลหรืออัปมงคล เช่น ถือหัว
ข ๕๑,การคิดว่าจะทำอย่างไร,ตกลงใจ		คิดได้แน่ในที่สุด เช่น ตกลงใจจะซื้อบ้านหลังนั้น
ข ๕๒,การคิดว่าจะให้เป็นอย่างไร,"อธิษฐาน, ตั้งจิตอธิษฐาน		คิดโดยตั้งใจมั่นเพื่อให้ความคิดสัมฤทธิผล เช่น อธิษฐานให้สอบได้"
ข ๕๓,การคิดถึง,คิดถึง		คิดเกี่ยวกับ เช่น คิดถึงความผิด; นึกถึงด้วยใจผูกพัน เช่น คิดถึงลูก
ข ๕๔,สภาพสมองที่เกี่ยวกับการคิด,สมองโปร่ง	สมองทำงานได้ดี เช่น เช้าๆ สมองโปร่ง
ข ๖๐, ข ๖๙ การคิดเห็น,ข ๖๐ การลงความเห็น
ข ๖๑,การคิดผิด,คิดผิด		คิดตัดสินใจไม่ถูกต้อง เช่น ฉันคิดผิดที่ซื้อรถ
ข ๖๒,การคิดเห็นคล้อยตาม,เชื่อ		เห็นตามด้วย เช่น เชื่อตำรา
ข ๖๓,การไม่คิดเห็นคล้อยตาม,สงสัย		ไม่ปลงใจเชื่อ เช่น สงสัยหลักฐาน
ข ๖๔,การยอมรับความคิดเห็น,เห็นชอบ	เห็นว่าถูกต้อง เช่น เห็นชอบตามข้อเสนอ
ข ๖๕, ข ๖๖ การคิดเห็นเกี่ยวกับตนเอง,ข ๖๕ การประมาณตนว่าด้อย
ข ๖๖,การถือตนว่าดี,หยิ่ง		ถือว่าตนมีดี เช่น เขาหยิ่งในเกียรติ
ข ๖๗, ข ๖๙ การคิดเห็นเกี่ยวกับผู้อื่น,ข ๖๗ การคิดเห็นว่าดีหรือมีความสามารถ
ข ๖๒,,เชื่อมือ		เชื่อความสามารถ เช่น เชื่อมือว่าทำได้
ข ๖๘,การไม่แน่ใจว่าดีหรือมีความสามารถ,ระแวง		สงสัยว่ามีผู้คิดไม่ดีหรือจะเกิดเรื่องไม่ดีต่อตน เช่น ระแวงว่าจะมีคนทำร้าย
ข ๖๙,การคิดเห็นว่าไม่ดีหรือไม่มีความสามารถ,"ประมาทคาดหน้า, ประมาทหน้า		ดูถูกว่าทำไม่ได้ เช่น ถูกประมาทหน้าว่าคงทำงานนี้ไม่สำเร็จ"
ข ๗๐,การไม่เปลี่ยนความคิดหรือติดอยู่ในความคิด,"เชื่อ, เชื่อมั่น, มั่นใจ	เชื่ออย่างมั่นคง เช่น เชื่อว่าตนไม่ผิด, เชื่อมั่นในตนเอง, มั่นใจว่าจะเอาชนะเขาได้"
ข ๗๑,การเปลี่ยนความคิด,เปลี่ยนใจ	เปลี่ยนความคิด เช่น เขาเปลี่ยนใจไม่เรียนต่อ
ข ๗๒,ลักษณะบุคคลเกี่ยวกับการคิด,"สุขุม, สุขุมคัมภีรภาพ	       คิดรอบคอบและลึกซึ้ง"
ข ๗๓,การคิดเกี่ยวกับจำนวน,นับ		บอกจำนวน เช่น นับ ๑ ถึง ๑๐; ตรวจจำนวน เช่น นับเงินทอน
ข ๗๔,การเฉลี่ย,"เฉลี่ย		แบ่งส่วนให้เท่าๆ กัน เช่น เงิน ๕,๐๐๐ บาท เฉลี่ยแล้วได้คนละ ๕๐๐; คิดรวมกันแล้วแบ่งส่วน เช่น รายจ่าย ๕,๐๐๐ บาท รายได้ ๕,๕๐๐ บาท เฉลี่ยแล้วยังมีกำไร"
ข ๗๕,การเปรียบเทียบ,เปรียบ		พิจารณาความเหมือนหรือต่างของสิ่งหนึ่งกับอีกสิ่งหนึ่ง เช่น บ้านคุณกับบ้านผมเปรียบกันไม่ได้; แสดงความเหมือนของสิ่งหนึ่งกับอีกสิ่งหนึ่ง เช่น เปรียบผู้หญิงกับดอกไม้
ข ๘๐, ข ๘๕ การรู้ การเข้าใจและการจำ,ข ๘๐ การรู้
ข ๘๑,ความไม่รู้ค่า,ใกล้เกลือกินด่าง (สำ)	มองข้ามหรือไม่รู้ค่าของดีที่อยู่ใกล้ตัว กลับไปแสวงหาสิ่งอื่นที่ด้อยกว่า; อยู่ใกล้ผู้ใหญ่ แต่กลับไม่ได้ที
ข ๘๒,ผู้รู้,ผู้รู้		ผู้มีความรู้เกี่ยวกับเรื่องหนึ่งๆ เช่น ปัญหานี้เราควรปรึกษาผู้รู้
ข ๘๓,ผู้ไม่รู้ค่าหรือไม่รู้จริง,"ไก่ได้พลอย, ลิงได้แก้ว, วานรได้แก้ว (สำ)		ผู้ที่ได้สิ่งที่ดีมีค่าแต่กลับไม่รู้ค่าของสิ่งนั้น"
ข ๘๔,การเข้าใจและความเข้าใจ,"เข้าใจ		รู้เรื่อง รู้ความหมาย เช่น เข้าใจถูกต้อง, เข้าใจถ่องแท้, เข้าใจซาบซึ้ง, เข้าใจอย่างลึกซึ้ง, เข้าใจผิวเผิน, เข้าใจคลาดเคลื่อน, เข้าใจทะลุปรุโปร่ง, เข้าใจแจ่มแจ้ง"
ข ๘๕,การจำและความจำ,"จำ	กำหนดไว้ในใจ ไม่ลืม [ใช้ได้ทั้งกรณีเรื่องยังไม่เกิดขึ้นและเกิดขึ้นแล้ว] เช่น จำได้ว่าเขาจะมาหาวันรุ่งขึ้น, จะจำบุญคุณไว้ตลอดชีวิต, จำได้คลับคล้ายคลับคลา, จำได้เลือนลาง, จำได้รัวๆ รางๆ, จำขึ้นใจ, จำได้แม่นยำ"
ข ๙๐, ข ๑๘๓ อารมณ์ ความรู้สึก,ข ๙๐ ความรู้สึกและอารมณ์
ข ๙๑,ความรู้สึกสบาย,สบาย; ทรงพระสำราญ (ราชา)		สุขกาย สุขใจ
ข ๙๒,ความรู้สึกไม่สบาย,"เจ็บ		รู้สึกอย่างถูกมีดบาดเป็นต้น ลักษณะความเจ็บมีต่างๆ เช่น เจ็บแปลบที่แขนขวา, เจ็บจี๊ดเมื่อถูกเข็มแทง, เจ็บร้าวไปทั้งร่าง, เจ็บระบมไปทั้งตัว"
ข ๙๓,ความรู้สึกว่าไม่มีแรง,"เหน็ดเหนื่อย, เหนื่อย	รู้สึกว่าหมดแรง เช่น วิ่งจนเหนื่อย"
ข ๙๔,ความรู้สึกเมื่อไม่ได้กิน,"หิว; ครรหิว, คระหิว (กวี)	อยากข้าวอยากน้ำ"
ข ๙๕,ความรู้สึกเมื่อกินแล้ว,อิ่ม	รู้สึกว่าได้บริโภคอาหารพอแก่ความต้องการ
ข ๙๖,การเมา,มึน		รู้สึกวิงเวียน เช่น ดื่มพอมึนๆ; รู้สึกตื้อในสมอง เช่น อ่านหนังสือมากชักมึน
ข ๙๗,ความรู้สึกเกี่ยวกับอากาศ,ร้อน		รู้สึกเหมือนถูกไฟเป็นต้น เช่น รู้สึกร้อนต้องเปิดพัดลม
ข ๑๐๐,ความรู้สึกที่เกิดขึ้นโดยมิได้ยับยั้งใจ,ถลำใจ		เกิดความรู้สึกโดยไม่ทันยับยั้ง เช่น ถลำใจไปรักเขา
ข ๑๐๑,อารมณ์ดี,ลมดี		อารมณ์ดี เช่น รอให้คุณพ่อลมดีเสียก่อน
ข ๑๐๒,อารมณ์ไม่ดี,"ลมไม่ดี, ลมเสีย, อารมณ์บูด	อารมณ์ไม่ดี เช่น ผู้จัดการลมไม่ดีแต่เช้า"
ข ๑๑๐, ข ๑๑๖ ความร็สึกเมื่อยังไม่ได้กระทำและยังไม่มีเหตุการณ์,ข ๑๑๐ ความรู้สึกอยากกระทำและไม่อยากกระทำ
ข ๑๑๑,ความรู้สึกไม่อาจตัดสินใจว่าจะกระทำอย่างไร,ลังเล		ตัดสินใจไม่ได้ เช่น ตัดสินใจแน่วแน่โดยไม่ลังเล
ข ๑๑๒,ความร็สึกว่าจะต้องรีบหรือไม่ต้องรีบกระทำ,ร้อนใจ; ร้อนอกร้อนใจ (ไม่ทางการ)	รู้สึกว่าจะต้องรีบกระทำการอย่างใดอย่างหนึ่ง เช่น ร้อนใจเพราะถึงเวลาเปิดงานแล้ว แต่ประธานยังไม่มา
ข ๑๑๓,ความรู้สึกเมื่อไม่รู้ว่าจะเกิดเหตุการณ์อย่างไร,"ใจเต้น, ใจระทึก, ระทึกใจ	จิตใจไม่เป็นปรกติเพราะไม่รู้ว่าต่อไปจะเป็นอย่างไร เช่น ใจเต้นไม่เป็นส่ำขณะเปิดซองจดหมาย, คอยฟังคำสั่งด้วยใจระทึก, นามีระทึกใจ"
ข ๑๑๔,ความรู้สึกเมื่ออาจประสบเหตุการณ์ที่ดี,กระหยิ่มใจ	เบิกบานโดยคาดว่าตนจะได้รับสิ่งดี เช่น กระหยิ่มใจว่าจะได้ชัยชนะ
ข ๑๑๕, ข ๑๑๖ ความรู้สึกเมื่ออาจประสบเหตุการณ์ไม่ดี,ข ๑๑๕ ความวิตกกังวล
ข ๑๑๖,ความไม่วิตกและคลายวิตก,สบายใจ		ไม่มีความวิตกกังวล เช่น นั่งอ่านหนังสือสบายใจ
ข ๑๒๐,ความรู้สึกต่อการกระทำ,เต็มใจ		ยินดีที่จะทำ เช่น เต็มใจช่วย
